Energy[keV],Fluence_rate [cm^-2s^-1],kerma_rate[keV/g s]
195.2,1.1713,6.062900417
195.4,0.46443,2.40697956
195.6,0.33016,1.713230684
195.8,0.74862,3.889479382
196,0.45431,2.3633085
196.2,0.86553,4.508039718
196.4,0.66606,3.473408538
196.6,0.18775,0.980299515
196.8,0.075868,0.396618739
197,0.67823,3.549987059
197.2,0.86583,4.537503928
197.4,0.32772,1.719575999
197.6,0,0
197.8,0.49074,2.581286967
198,0.76255,4.015924308
198.2,0.52736,2.780713131
198.4,0.60235,3.180015041
198.6,0.78477,4.148139576
198.8,0.35608,1.884467766
199,0,0
199.2,0.37391,1.983658529
199.4,0.13707,0.728066067
199.6,0.46486,2.472171331
199.8,0.28662,1.526125884
200,0.44351,2.364363432
200.2,0.60051,3.205217271
200.4,0.06726,0.359434664
200.6,0.60911,3.258998363
200.8,0.42289,2.265377587
201,0.36433,1.954035021
201.2,0.68485,3.677532757
201.4,0.49977,2.686917978
201.6,0.5517,2.969681022
201.8,0.2909,1.567734776
202,0.058358,0.314884135
202.2,0.44134,2.38421074
202.4,0.3083,1.667497928
202.6,0.10312,0.558411782
202.8,0.075851,0.411237141
203,0.10074,0.546829306
203.2,0.24921,1.354358313
203.4,0.16473,0.896310642
203.6,0.40135,2.186383439
203.8,0.31596,1.723264098
204,0.29487,1.610150475
204.2,0.056589,0.309373778
204.4,0.059501,0.3256798
204.6,0.47082,2.58009683
204.8,0.14551,0.798340124
205,0.3995,2.194448462
205.2,0.36828,2.025348176
205.4,0.29033,1.598548812
205.6,0.10642,0.586636586
205.8,0.29831,1.646361033
206,0.53696,2.966948801
206.2,0.61332,3.392857117
206.4,0.71212,3.944041077
206.6,0.67272,3.730197834
206.8,0.15434,0.856810499
207,0.98884,5.495921816
207.2,0.20637,1.148335524
207.4,0.62742,3.495326825
207.6,0.57664,3.2161839
207.8,0.58049,3.241432707
208,0.50285,2.811165169
208.2,0.8571,4.797163586
208.4,0.46801,2.622483563
208.6,0.78307,4.393011316
208.8,0.20594,1.156660817
209,0.34777,1.955512049
209.2,0.39239,2.208965153
209.4,0.51225,2.887054231
209.6,0.30541,1.723287578
209.8,0.30562,1.726463078
210,0.30616,1.73150792
210.2,1.2369,7.003427275
210.4,0.41976,2.379449966
210.6,0.30077,1.706903727
210.8,0.47532,2.700592625
211,0.41091,2.337317289
211.2,0.25525,1.453564068
211.4,0.46199,2.633892016
211.6,0.1049,0.598738711
211.8,0.30905,1.765983141
212,0.24801,1.418804155
212.2,0.27883,1.596936731
212.4,0.40264,2.308657885
212.6,0.22585,1.296452799
212.8,0.15295,0.878981123
213,0.33049,1.901434389
213.2,0.64285,3.702756266
213.4,0.4463,2.573560151
213.6,0.3119,1.80058768
213.8,0.31242,1.805629722
214,0.31282,1.809984481
214.2,0.31288,1.812375243
214.4,0.31338,1.817318634
214.6,0.31272,1.81553428
214.8,0.22372,1.300295643
215,0,0
215.2,0.51769,3.015661569
215.4,0.53457,3.117485467
215.6,0.11232,0.655757838
215.8,0.22575,1.319472085
216,0,0
216.2,0.43471,2.546494373
216.4,0.50815,2.980022971
216.6,0.14279,0.838319526
216.8,0.31677,1.861827558
217,0.41168,2.422357934
217.2,0.28304,1.66728183
217.4,0.53035,3.127562135
217.6,0.41633,2.457891851
217.8,0.60806,3.593790094
218,0.094916,0.561599132
218.2,0.5522,3.270872769
218.4,0.62987,3.735063093
218.6,0.14927,0.886132862
218.8,0.32367,1.923568121
219,0.23003,1.36857291
219.2,0,0
219.4,0.17369,1.035651217
219.6,0.28676,1.711725759
219.8,0.10767,0.643408454
220,0.10728,0.641780884
220.2,0.47819,2.863808618
220.4,0.13163,0.789175148
220.6,0.32201,1.932690998
220.8,0.074661,0.448601728
221,0.15104,0.908516297
221.2,0.24669,1.485475269
221.4,0.21813,1.314927921
221.6,0.3762,2.270270144
221.8,0.089526,0.540853518
222,0,0
222.2,0,0
222.4,0,0
222.6,0.1385,0.840354477
222.8,0.080779,0.490659964
223,0.48311,2.937630161
223.2,0.16277,0.990818105
223.4,0.32584,1.985601008
223.6,0.21598,1.317554777
223.8,0,0
224,0.23561,1.440398276
224.2,0,0
224.4,1.3406,8.213343409
224.6,0.62972,3.86218891
224.8,0,0
225,0,0
225.2,0.66943,4.118928307
225.4,0.30453,1.875739733
225.6,0.53585,3.304065966
225.8,0.43956,2.713227212
226,0.19427,1.200427155
226.2,0.3295,2.038201461
226.4,0.18984,1.17554858
226.6,0.21905,1.357865734
226.8,0.50884,3.157585213
227,0.64409,4.001107372
227.2,1.0902,6.779523834
227.4,0,0
227.6,0,0
227.8,0.49121,3.064330589
228,0.35063,2.189651814
228.2,0.59414,3.714256635
228.4,0.38507,2.409791575
228.6,0.386,2.418150556
228.8,0,0
229,0.14309,0.898289771
229.2,0.50837,3.194787589
229.4,0.84845,5.337560247
229.6,0.47537,2.993658977
229.8,0.18282,1.152518323
230,0.62114,3.919825819
230.2,0.55383,3.498697913
230.4,0.55376,3.501900553
230.6,0.56492,3.576193393
230.8,0.29076,1.842553417
231,0.68201,4.326404415
231.2,0.33967,2.156969818
231.4,0.6745,4.287645797
231.6,0.27194,1.730452468
231.8,0.46918,2.98865147
232,0,0
232.2,0.24366,1.555310543
232.4,0.2528,1.615317296
232.6,0.46015,2.943253471
232.8,0.46431,2.972920588
233,0.56529,3.62320724
233.2,0.23967,1.537735777
233.4,0.000022636,0.000145383
233.6,0,0
233.8,0.028296,0.182107999
234,0.57483,3.703291121
234.2,0.33954,2.189693846
234.4,0.59541,3.843723827
234.6,0.33984,2.19610812
234.8,0.10928,0.706907606
235,0.57109,3.698016489
235.2,0.17854,1.157288701
235.4,0,0
235.6,0.24731,1.606313753
235.8,0.17764,1.154968364
236,0.084107,0.547396061
236.2,0.2238,1.458039827
236.4,0,0
236.6,0.50543,3.299503675
236.8,0.13401,0.875716081
237,0.34236,2.23948023
237.2,0.59968,3.926643366
237.4,0.34301,2.248256903
237.6,0.34305,2.250781931
237.8,0.24529,1.610987849
238,0.18416,1.210720055
238.2,0.63125,4.154180985
238.4,0.57348,3.77778707
